system:index,countyears,cropland_mode,first,longitude,system:indexviejuno,.geo
2013_259,7.0,24.0,24,-102.1226823711533,8805.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.1226824,36.8599871]}"
2013_1532,5.0,24.0,29,-102.2210478947644,55124.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.2210479,36.8478599]}"
2013_669,8.0,24.0,24,-102.22994121607718,23759.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.2299412,36.7538063]}"
2013_529,7.0,24.0,24,-102.12133489822713,18868.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.1213349,36.8244139]}"
2013_457,6.0,24.0,4,-102.09061251551024,16507.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.0906125,36.8265698]}"
2013_1387,5.0,24.0,24,-102.11648399569287,49869.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.116484,36.8209104]}"
2013_948,7.0,24.0,24,-102.3008182919942,34125.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.3008183,36.6713409]}"
2013_610,6.0,24.0,24,-102.3067471728694,21817.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.3067472,36.7298213]}"
2013_970,5.0,24.0,24,-102.36549699245082,34718.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.365497,36.7403316]}"
2013_286,6.0,24.0,24,-102.5856740685885,10164.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.5856741,36.6770003]}"
2013_962,5.0,24.0,24,-102.56141955591728,34529.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.5614196,36.7252399]}"
2013_1775,7.0,24.0,24,-102.61450998920874,63669.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.61451,36.7856066]}"
2013_897,6.0,24.0,24,-102.46494049440284,32723.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.4649405,36.7473384]}"
2013_1728,7.0,24.0,24,-102.45739464601624,61545.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.4573946,36.8079747]}"
2013_194,8.0,24.0,24,-103.59385331195584,6436.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-103.5938533,35.2850608]}"
2013_254,9.0,24.0,24,-103.72428869121,8722.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-103.7242887,34.827459]}"
2013_608,9.0,24.0,24,-103.7625569223135,21620.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-103.7625569,34.800779]}"
2013_1629,10.0,24.0,24,-103.77845710284241,58006.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-103.7784571,34.7999705]}"
2013_126,8.0,24.0,24,-103.87790060479443,4368.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-103.8779006,34.804013]}"
2013_1994,10.0,24.0,24,-103.57714464767122,71856.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-103.5771446,34.7347528]}"
2013_1838,10.0,24.0,24,-103.61406540584854,65954.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-103.6140654,34.6374653]}"
2013_569,6.0,24.0,24,-103.73210403418184,19975.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-103.732104,34.5151148]}"
2013_525,5.0,24.0,24,-109.31118093773453,18725.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-109.3111809,37.8678969]}"
2013_867,5.0,24.0,61,-109.31252841066072,31523.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-109.3125284,37.790013]}"
2013_1647,5.0,24.0,24,-109.22090025168053,58542.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-109.2209003,37.8032182]}"
2013_1225,5.0,24.0,24,-109.15487407829774,44003.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-109.1548741,37.763872]}"
2013_1409,5.0,24.0,24,-108.73527100908552,50634.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-108.735271,37.5005758]}"
2013_1405,5.0,24.0,24,-108.88537949306189,50504.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-108.8853795,37.6827541]}"
2013_1061,5.0,24.0,24,-112.02741686232673,37828.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-112.0274169,41.8822882]}"
2013_1732,6.0,24.0,24,-112.54754141183194,61690.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-112.5475414,41.7125067]}"
2013_1511,5.0,24.0,24,-112.22172245828179,54421.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-112.2217225,41.9332227]}"
2013_1745,6.0,24.0,24,-111.86868455162282,62413.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-111.8686846,42.1240249]}"
2013_1607,6.0,24.0,61,-111.95707877558019,57192.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-111.9570788,42.2541908]}"
2013_1464,5.0,24.0,24,-104.88877479401414,52784.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-104.8887748,42.7072112]}"
2013_1059,5.0,24.0,24,-104.67021468538786,37809.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-104.6702147,40.0885323]}"
2013_1539,5.0,24.0,61,-104.30558851156374,55198.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-104.3055885,40.0879933]}"
2013_104,6.0,24.0,61,-104.45731396305153,3557.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-104.457314,40.0241231]}"
2013_1169,5.0,24.0,24,-104.34412623725247,41709.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-104.3441262,40.0491861]}"
2013_15,5.0,24.0,24,-104.32822605672355,555.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-104.3282261,39.9640258]}"
2013_587,5.0,24.0,24,-104.41904573194803,20963.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-104.4190457,39.9082404]}"
2013_799,6.0,24.0,24,-104.00483255444053,28395.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-104.0048326,39.6708157]}"
2013_449,5.0,24.0,24,-103.73884139881274,16184.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-103.7388414,39.4789355]}"
